Jundrov,,Libušino Údolí,Jundrov
time,cyklisté,chodci
2020-05-29,0,0
2020-05-30,0,0
2020-05-31,0,0
2020-06-01,0,0
2020-06-02,0,0
2020-06-03,21,1
2020-06-04,341,43
2020-06-05,212,59
2020-06-06,1439,225
2020-06-07,1110,1495
2020-06-08,355,68
2020-06-09,0,0
2020-06-10,0,0
2020-06-11,1055,196
2020-06-12,524,85
2020-06-13,0,0
2020-06-14,0,0
2020-06-15,449,74
2020-06-16,42,11
2020-06-17,40,9
2020-06-18,42,73
2020-06-19,13,3
2020-06-20,12,12
2020-06-21,6,8
2020-06-22,19,13
2020-06-23,43,17
2020-06-24,54,14
2020-06-25,1577,426
2020-06-26,548,153
2020-06-27,58,36
2020-06-28,38,13
2020-06-29,25,25
2020-06-30,758,129
2020-07-01,950,116
2020-07-02,625,104
2020-07-03,1294,255
2020-07-04,1628,236
2020-07-05,1017,124
2020-07-06,0,0
2020-07-07,1232,363
2020-07-08,1526,301
2020-07-09,1480,366
2020-07-10,768,70
2020-07-11,0,0
2020-07-12,0,0
2020-07-13,0,0
2020-07-14,0,0
2020-07-15,0,0
2020-07-16,0,0
2020-07-17,941,164
2020-07-18,186,267
2020-07-19,1127,202
2020-07-20,0,0
2020-07-21,0,0
2020-07-22,0,0
2020-07-23,0,0
2020-07-24,0,0
2020-07-25,0,0
2020-07-26,0,0
2020-07-27,1429,339
2020-07-28,789,184
2020-07-29,692,80
2020-07-30,285,33
2020-07-31,690,68
2020-08-01,671,110
2020-08-02,1072,163
2020-08-03,113,113
2020-08-04,127,112
2020-08-05,1438,249
2020-08-06,1949,308
2020-08-07,1477,181
2020-08-08,1105,167
2020-08-09,1237,279
2020-08-10,1449,315
2020-08-11,1473,369
2020-08-12,1610,219
2020-08-13,1719,308
2020-08-14,1003,163
2020-08-15,614,224
2020-08-16,1855,307
2020-08-17,1466,398
2020-08-18,716,383
2020-08-19,1794,327
2020-08-20,1146,269
2020-08-21,1541,280
2020-08-22,1070,142
2020-08-23,1710,290
2020-08-24,1674,356
2020-08-25,2056,455
2020-08-26,1658,273
2020-08-27,1596,346
2020-08-28,1699,176
2020-08-29,1256,294
2020-08-30,1201,246
2020-08-31,1286,346
2020-09-01,260,196
2020-09-02,1482,464
2020-09-03,1674,397
2020-09-04,1361,257
2020-09-05,2052,365
2020-09-06,681,261
2020-09-07,1200,363
2020-09-08,1771,444
2020-09-09,1746,350
2020-09-10,1283,291
2020-09-11,1349,253
2020-09-12,1735,364
2020-09-13,1950,466
2020-09-14,1752,329
2020-09-15,300,31
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,1257,226
2020-09-20,3,7
2020-09-21,150,83
2020-09-22,1566,333
2020-09-23,106,18
2020-09-25,111,17
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,151,101
2020-09-30,454,174
2020-10-01,207,79
2020-10-02,492,146
2020-10-03,799,238
2020-10-04,701,232
2020-10-05,337,121
2020-10-06,597,182
2020-10-07,511,181
2020-10-08,528,124
2020-10-09,500,115
2020-10-10,518,170
2020-10-11,337,149
2020-10-12,121,83
2020-10-13,53,57
2020-10-14,45,55
2020-10-15,238,117
2020-10-16,120,98
2020-10-17,131,174
2020-10-18,258,149
2020-10-19,256,111
2020-10-20,874,407
2020-10-21,807,277
2020-10-22,1244,357
2020-10-23,740,221
2020-10-24,895,425
2020-10-25,838,402
2020-10-26,668,277
2020-10-27,350,240
2020-10-28,1345,429
