Komín,,Bystrc,Komín
time,cyklisté,chodci
2020-05-29,63,36
2020-05-30,63,36
2020-05-31,63,36
2020-06-01,0,0
2020-06-02,0,0
2020-06-03,63,36
2020-06-04,249,57
2020-06-05,145,40
2020-06-06,1666,103
2020-06-07,1405,146
2020-06-08,191,20
2020-06-09,0,0
2020-06-10,64,5
2020-06-11,837,56
2020-06-12,542,86
2020-06-13,0,0
2020-06-14,376,34
2020-06-15,320,24
2020-06-16,0,0
2020-06-17,0,0
2020-06-18,0,0
2020-06-19,0,0
2020-06-20,0,0
2020-06-21,0,0
2020-06-22,0,0
2020-06-23,0,0
2020-06-24,0,0
2020-06-25,0,0
2020-06-26,0,0
2020-06-27,0,0
2020-06-28,0,0
2020-06-29,235,99
2020-06-30,580,37
2020-07-01,1765,206
2020-07-02,1334,276
2020-07-03,345,68
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,0,0
2020-07-07,1198,162
2020-07-08,337,26
2020-07-09,1571,233
2020-07-10,2081,148
2020-07-11,115,64
2020-07-12,2724,204
2020-07-13,1334,128
2020-07-14,2476,303
2020-07-15,2185,162
2020-07-16,905,96
2020-07-17,1222,123
2020-07-18,190,88
2020-07-19,1678,205
2020-07-20,1549,149
2020-07-21,1461,124
2020-07-22,2302,207
2020-07-23,2328,318
2020-07-24,1420,142
2020-07-25,1453,148
2020-07-26,2082,137
2020-07-27,381,36
