Lidická 1+2,,z centra,do centra
time,cyklisté,chodci
2020-05-29,165,0
2020-05-30,282,0
2020-05-31,110,0
2020-06-01,1175,0
2020-06-02,1302,0
2020-06-03,1266,0
2020-06-04,1381,0
2020-06-05,510,0
2020-06-06,742,0
2020-06-07,436,0
2020-06-08,973,0
2020-06-09,1266,0
2020-06-10,568,0
2020-06-11,1289,0
2020-06-12,1259,0
2020-06-13,740,0
2020-06-14,473,0
2020-06-15,1161,0
2020-06-16,1436,0
2020-06-17,1360,0
2020-06-18,663,0
2020-06-19,512,0
2020-06-20,239,0
2020-06-21,327,0
2020-06-22,1248,0
2020-06-23,1431,0
2020-06-24,997,0
2020-06-25,1233,0
2020-06-26,741,0
2020-06-27,778,0
2020-06-28,630,0
2020-06-29,533,0
2020-06-30,724,0
2020-07-01,803,0
2020-07-02,712,0
2020-07-03,661,0
2020-07-04,242,0
2020-07-05,239,0
2020-07-06,266,0
2020-07-07,729,0
2020-07-08,625,0
2020-07-09,1134,0
2020-07-10,1151,0
2020-07-11,184,0
2020-07-12,296,0
2020-07-13,649,0
2020-07-14,1381,0
2020-07-15,1334,0
2020-07-16,1046,0
2020-07-17,1045,0
2020-07-18,200,0
2020-07-19,309,0
2020-07-20,891,0
2020-07-21,916,0
2020-07-22,1382,0
2020-07-23,1288,0
2020-07-24,1103,0
2020-07-25,609,0
2020-07-26,522,0
2020-07-27,1279,0
2020-07-28,1183,0
2020-07-29,973,0
2020-07-30,1005,0
2020-07-31,1064,0
2020-08-01,517,0
2020-08-02,276,0
2020-08-03,202,0
2020-08-04,214,0
2020-08-05,832,0
2020-08-06,1154,0
2020-08-07,1106,0
2020-08-08,601,0
2020-08-09,532,0
2020-08-10,1174,0
2020-08-11,1167,0
2020-08-12,1159,0
2020-08-13,1224,0
2020-08-14,957,0
2020-08-15,528,0
2020-08-16,508,0
2020-08-17,1095,0
2020-08-18,619,0
2020-08-19,1332,0
2020-08-20,543,0
2020-08-21,1059,0
2020-08-22,539,0
2020-08-23,703,0
2020-08-24,1362,0
2020-08-25,1281,0
2020-08-26,1173,0
2020-08-27,1245,0
2020-08-28,1000,0
2020-08-29,311,0
2020-08-30,200,0
2020-08-31,528,0
2020-09-01,227,0
2020-09-02,568,0
2020-09-03,557,0
2020-09-04,507,0
2020-09-05,381,0
2020-09-06,121,0
2020-09-07,439,0
2020-09-08,638,0
2020-09-09,567,0
2020-09-10,520,0
2020-09-11,490,0
2020-09-12,259,0
2020-09-13,214,0
2020-09-14,441,0
2020-09-15,136,0
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,443,0
2020-09-20,439,0
2020-09-21,952,0
2020-09-22,991,0
2020-09-23,106,0
2020-09-25,59,0
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,255,0
2020-09-30,616,0
2020-10-01,289,0
2020-10-02,404,0
2020-10-03,360,0
2020-10-04,327,0
2020-10-05,590,0
2020-10-06,877,0
2020-10-07,765,0
2020-10-08,755,0
2020-10-09,781,0
2020-10-10,380,0
2020-10-11,283,0
2020-10-12,304,0
2020-10-13,214,0
2020-10-14,195,0
