Kounicova 1+2,,do centra,z centra
time,cyklisté,chodci
2020-05-29,223,0
2020-05-30,331,0
2020-05-31,155,0
2020-06-01,876,0
2020-06-02,831,0
2020-06-03,957,0
2020-06-04,1043,0
2020-06-05,310,0
2020-06-06,355,0
2020-06-07,316,0
2020-06-08,700,0
2020-06-09,909,0
2020-06-10,432,0
2020-06-11,838,0
2020-06-12,846,0
2020-06-13,377,0
2020-06-14,271,0
2020-06-15,923,0
2020-06-16,1025,0
2020-06-17,958,0
2020-06-18,444,0
2020-06-19,320,0
2020-06-20,123,0
2020-06-21,177,0
2020-06-22,803,0
2020-06-23,1016,0
2020-06-24,697,0
2020-06-25,870,0
2020-06-26,472,0
2020-06-27,144,0
2020-06-28,123,0
2020-06-29,183,0
2020-06-30,818,0
2020-07-01,871,0
2020-07-02,673,0
2020-07-03,440,0
2020-07-04,255,0
2020-07-05,286,0
2020-07-06,344,0
2020-07-07,735,0
2020-07-08,773,0
2020-07-09,710,0
2020-07-10,632,0
2020-07-11,96,0
2020-07-12,364,0
2020-07-13,765,0
2020-07-14,488,0
2020-07-15,529,0
2020-07-16,384,0
2020-07-17,464,0
2020-07-18,112,0
2020-07-19,277,0
2020-07-20,661,0
2020-07-21,572,0
2020-07-22,709,0
2020-07-23,751,0
2020-07-24,680,0
2020-07-25,285,0
2020-07-26,295,0
2020-07-27,779,0
2020-07-28,713,0
2020-07-29,652,0
2020-07-30,578,0
2020-07-31,579,0
2020-08-01,255,0
2020-08-02,145,0
2020-08-03,88,0
2020-08-04,108,0
2020-08-05,480,0
2020-08-06,694,0
2020-08-07,557,0
2020-08-08,300,0
2020-08-09,279,0
2020-08-10,713,0
2020-08-11,792,0
2020-08-12,453,0
2020-08-13,265,0
2020-08-14,235,0
2020-08-15,74,0
2020-08-16,145,0
2020-08-17,320,0
2020-08-18,131,0
2020-08-19,310,0
2020-08-20,121,0
2020-08-21,235,0
2020-08-22,99,0
2020-08-23,78,0
2020-08-24,604,0
2020-08-25,754,0
2020-08-26,758,0
2020-08-27,764,0
2020-08-28,645,0
2020-08-29,256,0
2020-08-30,230,0
2020-08-31,157,0
