Lidická B,,z centra,do centra
time,cyklisté,chodci
2020-05-29,0,0
2020-05-30,0,0
2020-05-31,0,0
2020-06-01,558,0
2020-06-02,642,0
2020-06-03,645,0
2020-06-04,718,0
2020-06-05,239,0
2020-06-06,441,0
2020-06-07,232,0
2020-06-08,501,0
2020-06-09,648,0
2020-06-10,262,0
2020-06-11,656,0
2020-06-12,624,0
2020-06-13,378,0
2020-06-14,267,0
2020-06-15,565,0
2020-06-16,770,0
2020-06-17,647,0
2020-06-18,339,0
2020-06-19,227,0
2020-06-20,112,0
2020-06-21,184,0
2020-06-22,629,0
2020-06-23,707,0
2020-06-24,448,0
2020-06-25,586,0
2020-06-26,339,0
2020-06-27,392,0
2020-06-28,316,0
2020-06-29,249,0
2020-06-30,66,0
2020-07-01,124,0
2020-07-02,144,0
2020-07-03,209,0
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,0,0
2020-07-07,378,0
2020-07-08,573,0
2020-07-09,582,0
2020-07-10,596,0
2020-07-11,112,0
2020-07-12,296,0
2020-07-13,589,0
2020-07-14,727,0
2020-07-15,667,0
2020-07-16,540,0
2020-07-17,506,0
2020-07-18,180,0
2020-07-19,309,0
2020-07-20,602,0
2020-07-21,452,0
2020-07-22,727,0
2020-07-23,649,0
2020-07-24,524,0
2020-07-25,309,0
2020-07-26,273,0
2020-07-27,628,0
2020-07-28,594,0
2020-07-29,481,0
2020-07-30,527,0
2020-07-31,519,0
2020-08-01,264,0
2020-08-02,153,0
2020-08-03,101,0
2020-08-04,86,0
2020-08-05,419,0
2020-08-06,560,0
2020-08-07,522,0
2020-08-08,284,0
2020-08-09,271,0
2020-08-10,587,0
2020-08-11,560,0
2020-08-12,530,0
2020-08-13,580,0
2020-08-14,479,0
2020-08-15,322,0
2020-08-16,233,0
2020-08-17,510,0
2020-08-18,286,0
2020-08-19,679,0
2020-08-20,279,0
2020-08-21,505,0
2020-08-22,248,0
2020-08-23,408,0
2020-08-24,670,0
2020-08-25,612,0
2020-08-26,529,0
2020-08-27,624,0
2020-08-28,474,0
2020-08-29,82,0
2020-08-30,0,0
2020-08-31,0,0
