Lidická A,,do centra,z centra
time,cyklisté,chodci
2020-05-29,165,0
2020-05-30,282,0
2020-05-31,110,0
2020-06-01,617,0
2020-06-02,660,0
2020-06-03,621,0
2020-06-04,663,0
2020-06-05,271,0
2020-06-06,301,0
2020-06-07,204,0
2020-06-08,472,0
2020-06-09,618,0
2020-06-10,306,0
2020-06-11,633,0
2020-06-12,635,0
2020-06-13,362,0
2020-06-14,206,0
2020-06-15,596,0
2020-06-16,666,0
2020-06-17,713,0
2020-06-18,324,0
2020-06-19,285,0
2020-06-20,127,0
2020-06-21,143,0
2020-06-22,619,0
2020-06-23,724,0
2020-06-24,549,0
2020-06-25,647,0
2020-06-26,402,0
2020-06-27,386,0
2020-06-28,314,0
2020-06-29,284,0
2020-06-30,658,0
2020-07-01,679,0
2020-07-02,568,0
2020-07-03,452,0
2020-07-04,242,0
2020-07-05,239,0
2020-07-06,266,0
2020-07-07,152,0
