time,cyklisté,chodci
Renneská 1,,Heršpická,Novosadský most
2020-05-29 17:00,37257,72366,25159,80270
2020-05-29 18:00,37317,72458,25184,80291
2020-05-29 19:00,37375,72506,25212,80316
2020-05-29 20:00,37434,72550,25234,80330
2020-05-29 21:00,37457,72592,25246,80350
2020-05-29 22:00,37478,72616,25257,80357
2020-05-29 23:00,37482,72632,25258,80360
2020-05-30 00:00,37483,72638,25259,80364
2020-05-30 01:00,37484,72641,25259,80369
2020-05-30 02:00,37484,72643,25259,80369
2020-05-30 03:00,37484,72645,25259,80370
2020-05-30 04:00,37484,72645,25259,80370
2020-05-30 05:00,37484,72645,25259,80370
2020-05-30 06:00,37484,72645,25259,80370
2020-05-30 07:00,37486,72647,25263,80373
2020-05-30 08:00,37490,72659,25270,80382
2020-05-30 09:00,37492,72661,25281,80389
2020-05-30 10:00,37500,72662,25299,80396
2020-05-30 11:00,37512,72666,25340,80407
2020-05-30 12:00,37536,72668,25431,80413
2020-05-30 13:00,37575,72678,25492,80430
2020-05-30 14:00,37608,72696,25546,80447
2020-05-30 15:00,37671,72708,25577,80458
2020-05-30 16:00,37736,72727,25633,80478
2020-05-30 17:00,37800,72741,25686,80510
2020-05-30 18:00,37851,72770,25712,80533
2020-05-30 19:00,37908,72792,25747,80548
2020-05-30 20:00,37984,72809,25769,80554
2020-05-30 21:00,38022,72822,25785,80566
2020-05-30 22:00,38048,72839,25795,80574
2020-05-30 23:00,38052,72844,25796,80576
2020-05-31 00:00,38054,72845,25800,80580
2020-05-31 01:00,38054,72846,25800,80581
2020-05-31 02:00,38054,72846,25800,80581
2020-05-31 03:00,38055,72846,25800,80581
2020-05-31 05:00,38056,72848,25800,80582
2020-05-31 06:00,38056,72850,25800,80582
2020-05-31 07:00,38056,72851,25802,80586
2020-05-31 08:00,38059,72856,25805,80589
2020-05-31 09:00,38060,72856,25807,80591
2020-05-31 10:00,38060,72857,25810,80593
2020-05-31 11:00,38061,72857,25817,80597
2020-05-31 12:00,38063,72863,25820,80605
2020-05-31 13:00,38067,72869,25825,80608
2020-05-31 14:00,38072,72880,25830,80614
2020-05-31 15:00,38077,72888,25841,80634
2020-05-31 16:00,38081,72909,25848,80645
2020-05-31 17:00,38088,72925,25862,80659
2020-05-31 18:00,38098,72944,25875,80677
2020-05-31 19:00,38108,72970,25893,80695
2020-05-31 20:00,38135,72995,25904,80706
2020-05-31 21:00,38145,73012,25916,80713
2020-05-31 22:00,38154,73026,25920,80722
2020-05-31 23:00,38156,73031,25921,80725
2020-06-01 00:00,38157,73032,25921,80726
2020-06-01 01:00,38158,73035,25921,80730
2020-06-01 02:00,38159,73038,25921,80732
2020-06-01 03:00,38159,73038,25921,80732
2020-06-01 04:00,38159,73039,25921,80733
2020-06-01 05:00,38159,73040,25921,80733
2020-06-01 06:00,38161,73041,25922,80733
2020-06-01 07:00,38165,73043,25939,80761
2020-06-01 08:00,38195,73047,25978,80829
2020-06-01 09:00,38221,73053,26032,80967
2020-06-01 10:00,38244,73064,26076,81104
2020-06-01 11:00,38265,73069,26124,81148
2020-06-01 12:00,38299,73085,26150,81161
2020-06-01 13:00,38326,73107,26175,81218
2020-06-01 14:00,38351,73169,26194,81282
2020-06-01 15:00,38389,73195,26219,81302
2020-06-01 16:00,38446,73242,26267,81342
2020-06-01 17:00,38504,73330,26331,81376
2020-06-01 18:00,38606,73501,26391,81410
2020-06-01 19:00,38701,73626,26467,81470
2020-06-01 20:00,38793,73695,26526,81521
2020-06-01 21:00,38867,73759,26555,81552
2020-06-01 22:00,38918,73813,26580,81561
2020-06-01 23:00,38929,73830,26582,81571
2020-06-02 00:00,38935,73839,26582,81572
2020-06-02 01:00,38937,73840,26582,81577
2020-06-02 02:00,38937,73840,26582,81578
2020-06-02 03:00,38937,73840,26582,81578
2020-06-02 04:00,38937,73840,26582,81578
2020-06-02 05:00,38937,73840,26583,81579
2020-06-02 06:00,38938,73840,26586,81579
2020-06-02 07:00,38945,73845,26608,81599
2020-06-02 08:00,38972,73857,26661,81691
2020-06-02 09:00,39004,73864,26727,81836
2020-06-02 10:00,39020,73878,26785,81987
2020-06-02 11:00,39037,73892,26809,82038
2020-06-02 12:00,39062,73922,26826,82067
2020-06-02 13:00,39097,73983,26853,82143
2020-06-02 14:00,39131,74014,26873,82195
2020-06-02 15:00,39147,74051,26898,82215
2020-06-02 16:00,39196,74090,26928,82237
2020-06-02 17:00,39259,74184,26987,82263
2020-06-02 18:00,39364,74366,27048,82308
2020-06-02 19:00,39475,74518,27117,82367
2020-06-02 20:00,39544,74624,27159,82405
2020-06-02 21:00,39595,74690,27180,82420
2020-06-02 22:00,39630,74737,27185,82427
2020-06-02 23:00,39643,74747,27186,82431
2020-06-03 00:00,39646,74754,27189,82431
2020-06-03 01:00,39648,74755,27189,82438
2020-06-03 02:00,39648,74755,27189,82438
2020-06-03 03:00,39648,74755,27189,82438
2020-06-03 04:00,39648,74755,27189,82438
2020-06-03 05:00,39648,74756,27189,82438
2020-06-03 06:00,39648,74761,27190,82440
2020-06-03 07:00,39652,74765,27208,82476
2020-06-03 08:00,39671,74776,27254,82556
2020-06-03 09:00,39697,74792,27310,82727
2020-06-03 10:00,39719,74806,27352,82865
2020-06-03 11:00,39738,74815,27394,82920
2020-06-03 12:00,39767,74838,27423,82958
2020-06-03 13:00,39787,74889,27456,83017
2020-06-03 14:00,39802,74928,27490,83081
2020-06-03 15:00,39826,74955,27522,83109
2020-06-03 16:00,39876,74988,27542,83128
2020-06-03 17:00,39949,75078,27597,83146
2020-06-03 18:00,40042,75252,27654,83187
2020-06-03 19:00,40137,75393,27712,83244
2020-06-03 20:00,40227,75489,27774,83281
2020-06-03 21:00,40319,75559,27802,83322
2020-06-03 22:00,40363,75609,27823,83331
2020-06-03 23:00,40376,75639,27827,83342
2020-06-04 00:00,40379,75642,27829,83345
2020-06-04 01:00,40380,75647,27831,83351
2020-06-04 02:00,40380,75649,27837,83351
2020-06-04 03:00,40380,75650,27837,83357
2020-06-04 04:00,40380,75652,27837,83357
2020-06-04 05:00,40380,75652,27837,83357
2020-06-04 06:00,40380,75653,27837,83357
2020-06-04 07:00,40387,75658,27861,83381
2020-06-04 08:00,40415,75668,27906,83474
2020-06-04 09:00,40448,75677,27963,83610
2020-06-04 10:00,40469,75688,28015,83762
2020-06-04 11:00,40494,75722,28058,83840
2020-06-04 12:00,40525,75759,28098,83881
2020-06-04 13:00,40560,75823,28119,83951
2020-06-04 14:00,40588,75867,28148,84017
2020-06-04 15:00,40610,75892,28170,84049
2020-06-04 16:00,40650,75950,28212,84066
2020-06-04 17:00,40727,76045,28263,84113
2020-06-04 18:00,40849,76234,28325,84153
2020-06-04 19:00,40935,76354,28370,84207
2020-06-04 20:00,40989,76441,28409,84242
